player_id,long_name,short_name,nationality,height_cm,last_edition
227127,Alejandro Remiro Gargallo,Álex Remiro,Spain,192,24
232580,Gabriel dos Santos Magalhães,Gabriel,Brazil,190,24
235212,Achraf Hakimi Mouh,A. Hakimi,Morocco,181,24
237086,김민재 金敏在,Kim Min Jae,Korea Republic,190,24
238074,Reece James,R. James,England,178,24
212194,Julian Brandt,J. Brandt,Germany,185,24
213648,Pierre-Emile Kordt Højbjerg,P. Højbjerg,Denmark,187,24
220697,James Maddison,J. Maddison,England,175,24
220814,Lucas François Bernard Hernández Pi,L. Hernández,France,184,24
225193,Mikel Merino Zazón,Mikel Merino,Spain,189,24
230666,Gabriel Fernando de Jesus,Gabriel Jesus,Brazil,175,24
233419,Raphael Dias Belloli,Raphinha,Brazil,176,24
235805,Federico Chiesa,F. Chiesa,Italy,175,24
241084,Luis Fernando Díaz Marulanda,L. Díaz,Colombia,180,24
164240,Thiago Emiliano da Silva,Thiago Silva,Brazil,183,24
177683,Yann Sommer,Y. Sommer,Switzerland,183,24
185122,Péter Gulácsi,P. Gulácsi,Hungary,191,24
188377,Kyle Walker,K. Walker,England,183,24
189509,Thiago Alcântara do Nascimento,Thiago,Spain,174,24
189596,Thomas Müller,T. Müller,Germany,185,24
189881,Chris Smalling,C. Smalling,England,194,24
192505,Romelu Lukaku Menama,R. Lukaku,Belgium,191,24
192984,Koen Casteels,K. Casteels,Belgium,197,24
193747,Jorge Resurrección Merodio,Koke,Spain,176,24
198706,Luis Alberto Romero Alconchel,Luis Alberto,Spain,183,24
201024,Kalidou Koulibaly,K. Koulibaly,Senegal,186,24
202556,Memphis Depay,M. Depay,Netherlands,176,24
203841,Nick Pope,N. Pope,England,199,24
206113,Serge David Gnabry,S. Gnabry,Germany,176,24
207862,Matthias Ginter,M. Ginter,Germany,189,24
208418,Yannick Ferreira Carrasco,Y. Carrasco,Belgium,181,24
209499,Fábio Henrique Tavares,Fabinho,Brazil,188,24
210008,Adrien Rabiot,A. Rabiot,France,191,24
210035,Alejandro Grimaldo García,Grimaldo,Spain,171,24
212616,Rodrigo Javier De Paul,R. De Paul,Argentina,180,24
216435,Stanislav Lobotka,S. Lobotka,Slovakia,170,24
222492,Leroy Aziz Sané,L. Sané,Germany,183,24
226161,Marcos Llorente Moreno,Marcos Llorente,Spain,184,24
232363,Milan Škriniar,M. Škriniar,Slovakia,187,24
264240,Pablo Martín Páez Gavira,Gavi,Spain,173,24
243715,William Alain André Gabriel Saliba,W. Saliba,France,193,24
247090,Enzo Jeremías Fernández,E. Fernández,Argentina,178,24
234396,Alphonso Boyle Davies,A. Davies,Canada,185,24
242516,Cody Mathès Gakpo,C. Gakpo,Netherlands,189,24
246430,Dušan Vlahović,D. Vlahović,Serbia,190,24
247819,Nico Schlotterbeck,N. Schlotterbeck,Germany,191,24
253149,Jeremie Agyekum Frimpong,J. Frimpong,Netherlands,171,24
244260,Daniel Olmo Carvajal,Dani Olmo,Spain,179,24
251809,Sven Botman,S. Botman,Netherlands,193,24
230869,Unai Simón Mendibil,Unai Simón,Spain,190,24
241464,Pau Francisco Torres,Pau Torres,Spain,191,24
213661,Andreas Bødtker Christensen,A. Christensen,Denmark,187,24
216460,José María Giménez de Vargas,J. Giménez,Uruguay,185,24
225116,Alex Meret,A. Meret,Italy,190,24
229582,Gianluca Mancini,G. Mancini,Italy,190,24
225375,Konrad Laimer,K. Laimer,Austria,180,24
225659,Guido Rodríguez,G. Rodríguez,Argentina,185,24
226851,Benjamin Pavard,B. Pavard,France,186,24
227236,André-Franck Zambo Anguissa,A. Zambo Anguissa,Cameroon,184,24
228251,Lorenzo Pellegrini,L. Pellegrini,Italy,186,24
229391,João Maria Lobo Alves Palhinha Gonçalves,Palhinha,Portugal,190,24
230142,Mikel Oyarzabal Ugarte,Oyarzabal,Spain,181,24
234236,Patrik Schick,P. Schick,Czech Republic,191,24
155862,Sergio Ramos García,Sergio Ramos,Spain,184,24
167948,Hugo Lloris,H. Lloris,France,188,24
