player_id,player,last_season,country_of_birth,city_of_birth,country_of_citizenship,foot,height_in_cm,highest_market_value_in_eur
182574,Jean-Paul Boëtius,2022,Netherlands,Rotterdam,Netherlands,right,178.0,6000000.0
182579,Karim Rekik,2022,Netherlands,Den Haag,Netherlands,left,186.0,15000000.0
182712,João Cancelo,2023,Portugal,Barreiro,Portugal,right,182.0,70000000.0
182875,Jean-Charles Castelletto,2024,France,Clamart,Cameroon,both,186.0,5000000.0
182889,Wylan Cyprien,2021,Guadeloupe,Les Abymes,France,right,180.0,18000000.0
182893,Seko Fofana,2024,France,Paris,Cote d'Ivoire,right,185.0,32000000.0
182904,Clément Lenglet,2024,France,Beauvais,France,left,186.0,60000000.0
182913,Adrien Rabiot,2024,France,Saint-Maurice,France,left,191.0,50000000.0
182916,Wesley Saïd,2024,France,Noisy-le-Grand,France,right,171.0,8000000.0
183031,Koffi Djidji,2023,France,Bagnolet,Cote d'Ivoire,right,184.0,5000000.0
183288,Luke Shaw,2024,England,London,England,left,178.0,42000000.0
183293,Joe Rothwell,2023,England,Manchester,England,right,185.0,4000000.0
183299,Callum Robinson,2020,England,Northampton,Ireland,right,178.0,8000000.0
183302,Ben Pearson,2022,,Oldham,,right,176.0,3000000.0
183318,Jamaal Lascelles,2024,England,Derby,England,right,188.0,18000000.0
183334,Patrick Bamford,2022,England,Grantham,England,left,185.0,22000000.0
183647,Álvaro González,2021,Spain,Potes,Spain,right,182.0,9000000.0
183720,Anwar El Ghazi,2023,Netherlands,Barendrecht,Netherlands,right,189.0,13000000.0
183780,Paul Seguin,2022,Germany,Magdeburg,Germany,right,185.0,3000000.0
183841,Petar Stojanović,2023,Slovenia,Ljubljana,Slovenia,right,178.0,3000000.0
184129,Jordan Clark,2023,England,Hoyland,England,right,183.0,1000000.0
184491,Naïm Sliti,2018,France,Marseille,Tunisia,right,173.0,8000000.0
184528,Emil Krafth,2024,Sweden,Ljungby,Sweden,right,184.0,5000000.0
184573,Victor Lindelöf,2024,Sweden,Vsters,Sweden,right,187.0,35000000.0
184672,Guido Carrillo,2021,Argentina,Magdalena,Argentina,right,191.0,18000000.0
184779,Gonzalo Verdú,2022,Spain,Cartagena,Spain,right,188.0,800000.0
184892,Florian Thauvin,2024,France,Orlans,France,left,181.0,50000000.0
184894,Alfred Duncan,2024,Ghana,Accra,Ghana,left,178.0,18000000.0
184922,Ambroise Oyongo,2021,Cameroon,Ndikinimki,Cameroon,left,176.0,4000000.0
184935,Kalifa Coulibaly,2021,Mali,Bamako,Mali,right,197.0,5000000.0
185077,Vincenzo Grifo,2024,Germany,Pforzheim,Italy,right,180.0,12000000.0
185699,Tim Leibold,2018,Germany,Bblingen,Germany,left,174.0,4000000.0
186368,Valentino Lazaro,2024,Austria,Graz,Austria,right,181.0,19000000.0
186399,Thiago Galhardo,2021,Brazil,So Joo del Rei,Brazil,right,183.0,2500000.0
186477,Herbert Bockhorn,2021,Uganda,Kampala,Germany,right,176.0,800000.0
186590,John Stones,2024,England,Barnsley,England,right,188.0,60000000.0
186862,Enzo Roco,2022,Chile,Ovalle,Chile,right,192.0,3000000.0
186988,Sven Michel,2023,Germany,Freudenberg,Germany,left,177.0,1250000.0
187384,Cristian Buonaiuto,2022,Italy,Napoli,Italy,right,179.0,1000000.0
187491,Timo Baumgartl,2022,Germany,Bblingen,Germany,right,190.0,15000000.0
187492,Julian Brandt,2024,Germany,Bremen,Germany,right,185.0,50000000.0
187587,Ante Rebić,2024,Croatia,Split,Croatia,right,185.0,40000000.0
187947,Danilo,2012,Brazil,Porto dos Gachos,Brazil,right,181.0,250000.0
188077,Ryan Christie,2024,Scotland,Inverness,Scotland,left,178.0,12000000.0
188157,Sebastián Cristóforo,2019,Uruguay,Montevideo,Uruguay,right,175.0,3000000.0
188838,Bruno González,2020,Spain,Las Galletas,Spain,right,184.0,3000000.0
188888,Sheraldo Becker,2024,Netherlands,Amsterdam,Suriname,right,180.0,17000000.0
188915,Naomichi Ueda,2020,Japan,"Uto, Kumamoto",Japan,right,186.0,1500000.0
189441,Lucas Ocampos,2023,Argentina,Quilmes,Argentina,both,187.0,50000000.0
189453,Jonathan Silva,2021,Argentina,La Plata,Argentina,left,178.0,4000000.0
189458,Emiliano Velázquez,2018,Uruguay,Montevideo,Uruguay,right,184.0,4000000.0
190289,Gerrit Holtmann,2024,Germany,Bremerhaven,Philippines,left,185.0,4500000.0
190338,Anthony Briançon,2024,France,Avignon,France,right,185.0,5000000.0
190393,Corentin Tolisso,2024,France,Tarare,France,right,181.0,45000000.0
190685,Bouna Sarr,2023,France,Lyon,Senegal,right,178.0,9000000.0
190780,Emiliano Sala,2018,Argentina,Culul,Argentina,right,187.0,16000000.0
190786,Baptiste Reynet,2020,France,Romans,France,right,185.0,5000000.0
191217,Héctor Bellerín,2024,Spain,Badalona,Spain,right,178.0,40000000.0
191359,Florian Pick,2023,Germany,Wittlich,Germany,right,176.0,900000.0
191891,Arkadiusz Milik,2024,Poland,Tychy,Poland,left,186.0,40000000.0
192009,Unai López,2024,Spain,Donostia-San Sebastin,Spain,right,170.0,12000000.0
192169,Jonas Föhrenbach,2024,Germany,Freiburg im Breisgau,Germany,left,184.0,2000000.0
192492,Jordan Lefort,2024,France,Champigny-sur-Marne,France,left,184.0,3000000.0
192557,Jackson Irvine,2024,Australia,Melbourne,Australia,right,189.0,3500000.0
192565,Leroy Sané,2024,Germany,Essen,Germany,left,183.0,100000000.0
192616,Ulisses Garcia,2024,Portugal,Almada,Switzerland,left,182.0,4000000.0
192635,Nico Elvedi,2024,Switzerland,Zrich,Switzerland,right,189.0,35000000.0
192638,Nicolas Haas,2024,Switzerland,Sursee,Switzerland,right,178.0,3500000.0
192735,Stanislav Lobotka,2024,Slovakia,Trenn,Slovakia,right,168.0,40000000.0
192736,Sabin Merino,2019,Spain,Urduliz,Spain,right,187.0,3000000.0
192765,Ben Davies,2024,Wales,Neath,Wales,left,181.0,25000000.0
193004,Waldemar Anton,2024,Uzbekistan,Almalyk,Germany,right,189.0,24000000.0
193033,Tim Kleindienst,2024,Germany,Jterbog,Germany,both,194.0,17000000.0
193098,Álex Moreno,2024,Spain,Vilafranca Del Peneds,Spain,left,179.0,20000000.0
193116,John McGinn,2024,Scotland,Glasgow,Scotland,left,178.0,32000000.0
193130,Rachid Alioui,2021,France,La Rochelle,Morocco,right,186.0,5000000.0
193534,Hamadi Al Ghaddioui,2021,Germany,Bonn,Morocco,right,190.0,850000.0
193782,Lucas Alario,2023,Argentina,"Tostado, Santa Fe",Argentina,right,185.0,20000000.0
193784,Carlos Clerc,2022,Spain,Badalona,Spain,left,181.0,3000000.0
193867,Liam Henderson,2024,Scotland,Livingston,Scotland,right,183.0,3000000.0
193877,Pascal Köpke,2019,Germany,Hanau,Germany,right,178.0,2000000.0
194460,Joe Bryan,2022,England,Bristol,England,left,170.0,7000000.0
195171,Samu Castillejo,2023,Spain,Mlaga,Spain,left,182.0,18000000.0
195246,Pascal Stenzel,2024,Germany,Bnde,Germany,right,183.0,6500000.0
195605,José Pozo,2023,Spain,Mlaga,Spain,left,171.0,3000000.0
195633,Charlie Taylor,2024,England,York,England,left,183.0,7000000.0
195652,Jordon Ibe,2019,England,London,England,right,176.0,10000000.0
195680,Joe Ralls,2018,England,Aldershot,England,left,178.0,5000000.0
195736,Florian Grillitsch,2024,Austria,Neunkirchen,Austria,right,187.0,25000000.0
195762,Víctor García,2019,Venezuela,Ca,Venezuela,right,178.0,1500000.0
196095,Luca Waldschmidt,2023,Germany,Siegen,Germany,left,181.0,20000000.0
196357,Jonathan Tah,2024,Germany,Hamburg,Germany,right,195.0,40000000.0
196435,Saidy Janko,2022,Switzerland,Zrich,The Gambia,right,181.0,3000000.0
196792,Julian Weigl,2024,Germany,Bad Aibling,Germany,right,186.0,30000000.0
196815,Joshua Mees,2020,Germany,Lebach,Germany,both,180.0,1000000.0
196948,Andreas Christensen,2024,Denmark,Lillerd,Denmark,right,187.0,40000000.0
197122,Unai García,2024,Spain,Esquiroz,Spain,right,186.0,2500000.0
197300,Federico Bernardeschi,2021,Italy,Carrara,Italy,left,183.0,45000000.0
197473,Alberto Grassi,2024,Italy,Lumezzane,Italy,right,183.0,7000000.0
197491,Alex Ferrari,2022,Italy,Modena,Italy,right,191.0,2500000.0
197545,Ander Capa,2022,Spain,Portugalete,Spain,right,175.0,7500000.0
197747,Alessio Romagnoli,2024,Italy,Anzio,Italy,left,185.0,50000000.0
197751,Alberto Cerri,2023,Italy,Parma,Italy,right,194.0,7500000.0
197838,Jamie Vardy,2024,England,Sheffield,England,right,179.0,20000000.0
198008,André Silva,2024,Portugal,Baguim do Monte,Portugal,right,186.0,45000000.0
198116,Federico Dimarco,2024,Italy,Milano,Italy,left,175.0,60000000.0
198516,Harry Toffolo,2024,England,Welwyn Garden City,England,left,183.0,5000000.0
198589,Lewis Baker,2021,England,Luton,England,right,182.0,5500000.0
198709,Cédric Hountondji,2024,France,Toulouse,Benin,right,194.0,3000000.0
199248,Bryan Cristante,2024,Italy,San Vito al Tagliamento,Italy,right,186.0,25000000.0
199258,Andrea Petagna,2024,Italy,Trieste,Italy,left,190.0,20000000.0
199341,Óscar Gil,2017,Spain,Peralta/Azkoien,Spain,right,184.0,700000.0
199369,Sandro Ramírez,2024,Spain,Las Palmas de Gran Canaria,Spain,right,174.0,10000000.0
199527,Jacob Murphy,2024,England,London,England,right,179.0,16000000.0
199528,Josh Murphy,2018,England,London,England,right,173.0,10000000.0
199704,Yunis Abdelhamid,2024,France,Montpellier,Morocco,left,190.0,2500000.0
199733,Danilo Cataldi,2024,Italy,Roma,Italy,right,180.0,10000000.0
199941,Andrea Beghetto,2018,Italy,Perugia,Italy,left,182.0,2000000.0
199953,Caleb Ekuban,2024,Italy,Villafranca di Verona,Ghana,right,182.0,7000000.0
200056,Elseid Hysaj,2024,Albania,Shkodr,Albania,right,182.0,25000000.0
200512,Sadio Mané,2022,Senegal,Bambaly,Senegal,right,174.0,150000000.0
201737,Christopher Jullien,2024,France,Lagny-sur-Marne,France,right,196.0,6500000.0
202318,Farid Boulaya,2021,France,Vitrolles,Algeria,right,180.0,5500000.0
202591,Benjamin Henrichs,2024,Germany,Bocholt,Germany,right,185.0,20000000.0
202886,Ruben Loftus-Cheek,2024,England,London,England,right,191.0,30000000.0
202984,Roque Mesa,2022,Spain,Telde,Spain,right,172.0,12000000.0
203026,Danny Ward,2024,Wales,Wrexham,Wales,right,191.0,10000000.0
203043,Pedro Bigas,2022,Spain,Palma de Mallorca,Spain,left,181.0,5000000.0
203123,Haris Tabakovic,2024,Switzerland,Grenchen,Bosnia-Herzegovina,right,194.0,3000000.0
203348,Chancel Mbemba,2024,Zaire,Kinshasa,DR Congo,right,182.0,20000000.0
203394,Andreas Pereira,2024,Belgium,Duffel,Brazil,right,178.0,20000000.0
203460,Jack Grealish,2024,England,Birmingham,England,right,180.0,100000000.0
203496,Nabil Fekir,2023,France,Lyon,France,left,173.0,70000000.0
203504,Pierre-Yves Hamel,2021,France,Brest,France,right,189.0,3500000.0
203507,Adrien Hunou,2024,France,vry,France,right,179.0,6000000.0
203517,Steven Moreira,2019,France,Noisy-le-Grand,France,right,180.0,2000000.0
203746,Ruben Aguilar,2024,France,Grenoble,France,right,172.0,12000000.0
203842,Viktor Kovalenko,2024,Ukraine,Kherson,Ukraine,right,182.0,6000000.0
203853,Oleksandr Zinchenko,2024,Ukraine,"Radomyshl, Zhytomyr Oblast",Ukraine,left,175.0,42000000.0
204103,Adama Traoré,2024,Spain,L'Hospitalet de Llobregat,Spain,right,178.0,40000000.0
204294,Saman Ghoddos,2023,Sweden,Malm,Iran,right,175.0,5000000.0
205022,Rafinha,2018,Portugal,Paos de Ferreira,Portugal,both,166.0,150000.0
205054,Norbert Gyömbér,2023,CSSR,Revca,Slovakia,right,189.0,1500000.0
205503,Ibrahim Amadou,2022,Cameroon,Douala,France,right,183.0,15000000.0
205562,Thomas Lemar,2024,Guadeloupe,Baie-Mahault,France,left,171.0,70000000.0
205587,Opa Nguette,2021,France,Mantes-la-Jolie,Senegal,right,182.0,5000000.0
205677,Luca Garritano,2023,Italy,Cosenza,Italy,right,172.0,1800000.0
206050,Paulo Dybala,2024,Argentina,Laguna Larga,Argentina,left,177.0,110000000.0
206225,Isaac Hayden,2023,England,Chelmsford,England,right,187.0,10000000.0
206746,Kenny Tete,2024,Netherlands,Amsterdam,Netherlands,right,180.0,15000000.0
206912,Jimmy Cabot,2023,France,Chambry,France,right,164.0,5000000.0
207014,Will Hughes,2024,England,Weybridge,England,left,185.0,18000000.0
207597,Cedric Teuchert,2021,Germany,Coburg,Germany,right,182.0,2000000.0
207715,Ibrahima Mbaye,2022,Senegal,Gudiawaye,Senegal,right,188.0,6500000.0
207742,Tom Lockyer,2023,Wales,Cardiff,Wales,right,185.0,3500000.0
207877,Ruslan Malinovskyi,2024,Ukraine,Zhytomyr,Ukraine,left,181.0,30000000.0
207917,Alberto Moreno,2024,Spain,Sevilla,Spain,left,171.0,15000000.0
207929,Dele Alli,2024,England,Milton Keynes,England,right,188.0,100000000.0
208167,Dawid Kownacki,2023,Poland,Gorzw Wielkopolski,Poland,right,186.0,9000000.0
209212,Solly March,2024,England,Eastbourne,England,left,180.0,22000000.0
209781,Oumar Niasse,2019,Senegal,Dakar,Senegal,right,182.0,13000000.0
210143,Álex Gallar,2018,Spain,Sabadell,Spain,left,178.0,1500000.0
210178,Pablo Marí,2024,Spain,Almussafes,Spain,left,193.0,7000000.0
211072,Paulinho,2023,Portugal,Barcelos,Portugal,left,188.0,15000000.0
211251,Darwin Machís,2024,Venezuela,Tucupita,Venezuela,right,171.0,10000000.0
211389,Helibelton Palacios,2022,Colombia,Santander de Quilichao,Colombia,right,181.0,1500000.0
211474,Ali Abdi,2024,Tunisia,Sfax,Tunisia,left,183.0,3000000.0
212391,Roger Martí,2023,Spain,Torrent,Spain,right,179.0,10000000.0
212723,Djibril Sow,2024,Switzerland,Zrich,Switzerland,right,184.0,22000000.0
212804,Florian Tardieu,2024,France,Istres,France,right,181.0,3000000.0
